network,siteID,siteName,status,startDate,stopDate,county,state,latitude,longitude,elevation,stateName,siteClass
NTN,KY10,Mammoth Cave National Park-Houchin Meadow,A,8/27/02,,Edmonson,KY,37.1317,-86.148,236,Kentucky,R
NTN,KY19,Cannons Lane,A,10/7/03,,Jefferson,KY,38.2288,-85.6545,177,Kentucky,U
NTN,KY22,Lilley Cornett Woods,A,9/6/83,,Letcher,KY,37.0778,-82.9936,335,Kentucky,R
NTN,LA12,Iberia Research Station,A,11/16/82,,Iberia,LA,29.931,-91.7165,6,Louisiana,R
NTN,LA30,Southeast Research Station,A,1/18/83,,Washington,LA,30.7819,-90.2021,77,Louisiana,R
NTN,MA01,North Atlantic Coastal Lab,A,12/15/81,,Barnstable,MA,41.9759,-70.0241,57,Massachusetts,R
NTN,MA08,Quabbin Reservoir,A,3/5/82,,Franklin,MA,42.3925,-72.3444,306,Massachusetts,R
NTN,MA14,Nantucket,A,3/4/14,,Nantucket,MA,41.2897,-70.1751,16,Massachusetts,R
NTN,MA22,Boston University,A,6/16/15,,Suffolk,MA,42.3501,-71.1044,32,Massachusetts,U
NTN,MA98,Arnold Arboretum,A,2/9/16,,Suffolk,MA,42.2953,-71.134,48,Massachusetts,U
NTN,MD08,Piney Reservoir,A,6/29/04,,Garrett,MD,39.7053,-79.0122,769,Maryland,R
NTN,MD15,Smith Island,A,6/1/04,,Somerset,MD,37.9925,-76.0345,2,Maryland,I
NTN,MD99,Beltsville,A,6/1/04,,Prince Georges,MD,39.028,-76.8171,46,Maryland,U
NTN,ME00,Caribou,A,4/14/80,,Aroostook,ME,46.8675,-68.0134,191,Maine,R
NTN,ME04,Carrabassett Valley,A,3/12/02,,Franklin,ME,45.0803,-70.2118,259,Maine,I
NTN,ME08,Gilead,A,9/28/99,,Oxford,ME,44.4003,-71.0098,212,Maine,I
NTN,ME09,Greenville Station,A,11/20/79,,Piscataquis,ME,45.4891,-69.6647,322,Maine,R
NTN,ME94,Indian Township,A,10/3/13,,Washington,ME,45.2436,-67.6308,101,Maine,I
NTN,ME96,Casco Bay-Wolfe's Neck Farm,A,1/6/98,,Cumberland,ME,43.8325,-70.0645,15,Maine,R
NTN,ME98,Acadia National Park-McFarland Hill,A,11/10/81,,Hancock,ME,44.3772,-68.2608,150,Maine,R
NTN,MI09,Douglas Lake,A,7/3/79,,Cheboygan,MI,45.5608,-84.6783,238,Michigan,R
NTN,MI26,Kellogg Biological Station,A,6/26/79,,Kalamazoo,MI,42.4103,-85.3928,288,Michigan,R
